datetime,open,high,low,close,volume
2026-02-09T00:00:00+00:00,660.85,682.94,656.8,668.63,63826
2026-02-12T00:00:00+00:00,668.63,675.61,634.29,639.71,74500
2026-02-15T00:00:00+00:00,639.71,642.27,628.53,639.26,19234
2026-02-18T00:00:00+00:00,639.26,662.9,627.73,655.63,78786
2026-02-21T00:00:00+00:00,655.63,656.83,635.73,637.04,18113
2026-02-24T00:00:00+00:00,637.04,660.45,628.68,656.7,54530
2026-02-27T00:00:00+00:00,656.7,656.7,637.83,648.13,20470
2026-03-02T00:00:00+00:00,648.13,672.42,634.24,666.9,71793
2026-03-05T00:00:00+00:00,666.9,670.21,635.83,644.27,47478
2026-03-08T00:00:00+00:00,644.27,659.91,626.49,654.01,42141
2026-03-11T00:00:00+00:00,654.01,658.78,609.33,613.57,75000
2026-03-14T00:00:00+00:00,613.57,634.38,613.57,627.16,27175
2026-03-17T00:00:00+00:00,627.16,636.09,601.98,606.16,180774
2026-03-20T00:00:00+00:00,606.16,606.16,586.93,593.47,59859
2026-03-23T00:00:00+00:00,593.47,608.28,590.71,594.84,135899
2026-03-26T00:00:00+00:00,594.84,594.84,519.98,525.57,120380
2026-03-29T00:00:00+00:00,525.57,573.29,525.57,571.61,138751
2026-04-01T00:00:00+00:00,571.61,592.13,559.27,574.05,136598
2026-04-04T00:00:00+00:00,574.05,582.35,571.73,573.23,49301
2026-04-07T00:00:00+00:00,573.23,637.07,564.49,628.1,198400
2026-04-10T00:00:00+00:00,628.1,638.15,624.03,629.13,50039
2026-04-13T00:00:00+00:00,629.13,678.2,623.81,670.59,112889
2026-04-16T00:00:00+00:00,670.59,691.1,667.26,688.57,71908
2026-04-19T00:00:00+00:00,688.57,688.57,667.06,668.52,81204
2026-04-22T00:00:00+00:00,668.52,680.32,652.84,674.71,138795
2026-04-25T00:00:00+00:00,674.71,682.16,669.9,679.24,29800
2026-04-28T00:00:00+00:00,679.24,679.24,599.73,611.76,138702
2026-05-01T00:00:00+00:00,611.76,617.89,605.79,608.67,49124
2026-05-04T00:00:00+00:00,608.67,619.59,597.83,611.99,99256
2026-05-07T00:00:00+00:00,611.99,624.63,605.79,609.25,48970
2026-05-10T00:00:00+00:00,609.25,609.25,592.33,602.85,49993
2026-05-13T00:00:00+00:00,602.85,623.36,596.41,614.18,76684
2026-05-16T00:00:00+00:00,614.18,615.2,603.36,610.97,31550
2026-05-19T00:00:00+00:00,610.97,613.35,594.58,607.07,67897
2026-05-22T00:00:00+00:00,607.07,614.32,606.59,610.15,22496
2026-05-25T00:00:00+00:00,610.15,637.99,605.1,634.69,49009
2026-05-28T00:00:00+00:00,634.69,642.56,623.06,632.23,47668
2026-05-31T00:00:00+00:00,632.23,635.19,596.41,597.5,58553
2026-06-03T00:00:00+00:00,597.5,642.01,582.71,592.36,130352
2026-06-06T00:00:00+00:00,592.36,592.36,578.95,585.05,23935
2026-06-09T00:00:00+00:00,585.05,597.3,556.73,568.04,88723
2026-06-12T00:00:00+00:00,568.04,575.58,560.54,566.65,31623
2026-06-15T00:00:00+00:00,566.65,605.36,566.22,567.26,88438
2026-06-18T00:00:00+00:00,567.26,579.76,562.83,576.9,45948
2026-06-21T00:00:00+00:00,576.9,576.9,559.53,561.67,88634
2026-06-24T00:00:00+00:00,561.67,568.52,539.87,548.88,95526
2026-06-27T00:00:00+00:00,548.88,570.43,548.88,562.23,28666
2026-06-30T00:00:00+00:00,562.23,627.93,551.19,582.48,113021
2026-07-06T00:00:00+00:00,582.48,624.98,581.53,602.97,106775
2026-07-09T00:00:00+00:00,602.97,677.53,576.73,668.72,105721
2026-07-12T00:00:00+00:00,668.72,676.04,648.74,660.73,77983
2026-07-15T00:00:00+00:00,660.73,685.59,625.73,645.56,141058
2026-07-18T00:00:00+00:00,645.56,652.71,635.83,645.41,25115
2026-07-21T00:00:00+00:00,645.41,654.75,596.89,605.42,96576
2026-07-24T00:00:00+00:00,605.42,609.52,593.78,595.09,32235
2026-07-27T00:00:00+00:00,595.09,610.04,581.94,586.62,91921
2026-07-30T00:00:00+00:00,586.62,586.62,523.85,556.62,82467
2026-08-02T00:00:00+00:00,556.62,597.09,556.62,587.56,59988
2026-08-05T00:00:00+00:00,587.56,600.46,579.84,590.87,70907
2026-08-08T00:00:00+00:00,592.12,607.84,591.74,594.53,27660
2026-08-11T00:00:00+00:00,594.53,611.94,577.78,594.62,87484
2026-08-14T00:00:00+00:00,594.62,601.07,588.74,589.36,21967
2026-08-17T00:00:00+00:00,589.36,589.45,537.01,546.16,88587
2026-08-20T00:00:00+00:00,546.16,553.52,539.06,549.6,48938
2026-08-23T00:00:00+00:00,549.6,568.09,546.05,564.66,41877
2026-08-26T00:00:00+00:00,569.59,592.42,561.49,578,72650
2026-08-29T00:00:00+00:00,578,578,568.73,571.92,20886
2026-09-01T00:00:00+00:00,571.92,584.35,555.83,578.11,26474
